Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;;10;0.007992058558344027;0.0009420585583440272;0.0010679414416559733;2021-07-23 22:49:00.614223126;2021-07-23 23:49:00.614223126;2021-07-24 00:49:00.614223126;2021-07-24 01:49:00.614223126;2021-07-24 01:40:00;51706.738164484195;1157861.1656250001;1106154.4274605159;152.8435056729074;15.82637378114182;136.8484084870076;598706.9610844284;547000.2229199442;67.67238650437416;153.6607019814907;0.0001389143307361355;1.0
;;;11;0.009427544749297136;0.00036754474929713565;0.0003824552507028633;2021-07-23 22:45:59.519069493;2021-07-23 23:45:59.519069493;2021-07-24 00:45:59.519069493;2021-07-24 01:45:59.519069493;2021-07-24 01:00:00;36996.19889863479;801206.1942187501;764209.9953201154;173.7920461086742;17.32039142760465;96.00081831022557;382670.84117607784;345674.642277443;43.42399174434814;174.65300240718733;0.0002285405889437863;1.0
;;;12;0.010027586948014961;0.0002175869480149622;0.00022241305198503897;2021-07-23 22:44:55.715358322;2021-07-23 23:44:55.715358322;2021-07-24 00:44:55.715358322;2021-07-24 01:44:55.715358322;2021-07-24 01:06:00;32221.14209867162;651021.1123958334;618799.9702971617;186.82144004413738;17.30729342422214;51.22002555397797;326764.44485150994;294543.3027528383;24.38027830949727;187.62140833560903;0.00030320203190298956;1.0
;;;13;0.010467688379007087;0.00021768837900708674;0.00022231162099291268;2021-07-23 22:44:12.481432672;2021-07-23 23:44:12.481432672;2021-07-24 00:44:12.481432672;2021-07-24 01:44:12.481432672;2021-07-24 01:00:00;29339.852360529127;686536.4355468751;657196.583186346;192.79968993320333;16.406996307526097;62.014591629432196;296030.4772400791;266690.62487954996;25.16554500803587;193.4965373493141;0.0002944271809983662;1.0
;;;14;0.01118838236743811;0.0004983823674381098;0.0005216176325618903;2021-07-23 22:43:07.326750102;2021-07-23 23:43:07.326750102;2021-07-24 00:43:07.326750102;2021-07-24 01:43:07.326750102;2021-07-24 01:00:00;23894.944586677317;534772.19140625;510877.2468195727;148.44508011882343;13.85802889072615;75.1285284985445;243412.54735250946;219517.60276583215;32.281794849927046;149.09053214815523;0.0002918323982449932;1.0
;;;15;0.011957386838268635;0.00024738683826863554;0.0002526131617313649;2021-07-23 22:42:04.475304685;2021-07-23 23:42:04.475304685;2021-07-24 00:42:04.475304685;2021-07-24 01:42:04.475304685;2021-07-24 01:04:00;22546.933143273884;406534.5822916667;383987.64914839284;155.41764449021278;14.409440060629347;44.313951993937415;204202.45705614748;181655.52391287358;20.96388824995186;156.08419581029668;0.00040648233388875904;1.0
;;;16;0.012467289200142909;0.0002572892001429083;0.00026271079985709135;2021-07-23 22:41:26.082408149;2021-07-23 23:41:26.082408149;2021-07-24 00:41:26.082408149;2021-07-24 01:41:26.082408149;2021-07-24 01:00:00;24207.278725911463;355275.1709375;331067.89221158857;155.05450488527904;14.15562069807857;35.31054968386056;178084.671178218;153877.39245230655;16.41202737937958;155.69932910120997;0.00047029425916573353;1.0
;;;17;0.013287780100528456;0.0005577801005284561;0.0005822198994715443;2021-07-23 22:40:29.062354204;2021-07-23 23:40:29.062354204;2021-07-24 00:40:29.062354204;2021-07-24 01:40:29.062354204;2021-07-24 01:06:00;21150.643924820193;281085.8015625;259935.15763767983;118.86039372001663;12.089520640491203;46.84619509694554;147070.35087435515;125919.70694953496;22.693579475426198;119.47363602315882;0.00045962861318549116;1.0
;;;18;0.014157030055770879;0.0002870300557708781;0.0002929699442291208;2021-07-23 22:39:34.213487342;2021-07-23 23:39:34.213487342;2021-07-24 00:39:34.213487342;2021-07-24 01:39:34.213487342;2021-07-24 01:00:00;17204.68816773088;233270.39083333334;216065.70266560247;129.38204554595606;12.65460150540864;34.807363814558045;113572.34123166185;96367.65306393096;15.524462785020056;129.99943326382825;0.0006016662138415552;1.0
;;;19;0.014766533106995695;0.0003165331069956961;0.00032346689300430387;2021-07-23 22:38:58.716424152;2021-07-23 23:38:58.716424152;2021-07-24 00:38:58.716424152;2021-07-24 01:38:58.716424152;2021-07-24 01:04:00;14892.054216104396;196427.61345703123;181535.55924092684;122.08754140778571;11.58038077934435;29.281861512816228;103792.2282220999;88900.1740059955;14.339684162120605;122.63552905252375;0.0006755454940360566;1.0
