;Plot_period;Averaging;Ion_masking;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Ion_contamination_correction;Unnamed: 2
12;;;;0.0157457518080274;0.0006557518080274;0.0006842481919725;2021-04-17 15:00:50.623686;2021-04-17 16:30:50.623686;2021-04-17 17:30:50.623686;2021-04-17 19:00:50.623686;2021-04-17 18:14:00;4912.6583685144;20180.436588541663;15267.778220027269;54.08276544661635;6.0549218436378816;5.388686265156352;10272.434541930415;5359.776173416016;1.891706300273176;54.42065413872092;0.0035644121465777;1.0;;
13;;;;0.0168057043886889;0.0003757043886889;0.000384295611311;2021-04-17 14:59:54.001666;2021-04-17 16:29:54.001666;2021-04-17 17:29:54.001666;2021-04-17 18:59:54.001666;2021-04-17 18:32:00;3992.7454202018703;23979.47349964489;19986.72807944301;61.77755071570903;5.975285395909665;7.0413754869456975;9342.837778278114;5350.092358076243;1.8848512389479304;62.065850578192936;0.0031053532289774;1.0;;
14;;;;0.0179386956047534;0.0007486956047534;0.0007813043952465;2021-04-17 14:58:59.203317;2021-04-17 16:28:59.203317;2021-04-17 17:28:59.203317;2021-04-17 18:58:59.203317;2021-04-17 18:52:00;3437.972813516332;17448.429748535156;14010.456935018825;47.52720123762001;5.286378392707693;6.532862864196909;6945.745919744867;3507.773106228535;1.6356212197784574;47.82029541933128;0.0034131859967968;1.0;;
15;;;;0.0191060199937087;0.0003860199937087;0.0003939800062912;2021-04-17 14:58:08.007952;2021-04-17 16:28:08.007952;2021-04-17 17:28:08.007952;2021-04-17 18:58:08.007952;2021-04-17 18:28:00;3136.3799232874685;16525.809711371527;13389.42978808406;57.41637866780112;5.217300570018556;5.751359853089968;7783.400946051694;4647.021022764226;1.9961036855039715;57.65293370299767;0.0043058542906962;1.0;;
16;;;;0.0199449241663135;0.0004449241663135;0.0004550758336864;2021-04-17 14:57:34.075250;2021-04-17 16:27:34.075250;2021-04-17 17:27:34.075250;2021-04-17 18:57:34.075250;2021-04-17 18:30:00;3154.5240424536164;15938.664048295452;12784.140005841837;49.557525462255086;5.041910525597858;4.9351434388490345;7783.019940981866;4628.49589852825;1.786767913596328;49.81334351045105;0.0038964954613832;1.0;;
17;;;;0.0213384160611794;0.0009384160611794;0.0009815839388205;2021-04-17 14:56:42.280405;2021-04-17 16:26:42.280405;2021-04-17 17:26:42.280405;2021-04-17 18:56:42.280405;2021-04-17 18:44:00;2473.065350444628;10816.967663352272;8343.902312907645;41.25698594319719;4.577320966596424;7.013452101807949;4995.186919272368;2522.12156882774;2.119964754446648;41.51012835861163;0.0049749058416464;1.0;;
18;;;;0.0228243028371076;0.0005043028371076;0.0005156971628923;2021-04-17 14:55:52.467038;2021-04-17 16:25:52.467038;2021-04-17 17:25:52.467038;2021-04-17 18:55:52.467038;2021-04-17 18:28:00;2821.8480589896985;12740.63466471354;9918.786605723844;41.86873265170296;4.642896992614138;4.744256758375255;5422.276831698056;2600.428772708357;-1.0;42.12537556323745;0.0042470291213774;1.0;;
19;;;;0.0238249616998642;0.0004849616998642;0.0004950383001357;2021-04-17 14:55:21.635132;2021-04-17 16:25:21.635132;2021-04-17 17:25:21.635132;2021-04-17 18:55:21.635132;2021-04-17 18:48:00;2107.41753187314;12326.318909912108;10218.901378038969;49.69246874943041;4.417049812476157;5.425189837152152;4529.83846900154;2422.4209371284;1.286057371847891;49.88839323388771;0.0048819722774799;1.0;;
20;;;;0.0254057631257161;0.0010857631257161;0.0011342368742838;2021-04-17 14:54:36.775023;2021-04-17 16:24:36.775023;2021-04-17 17:24:36.775023;2021-04-17 18:54:36.775023;2021-04-17 18:54:00;1919.983869201608;10251.438881835937;8331.45501263433;42.04191673920374;3.8481610802346022;6.890283345078865;4405.123610922703;2485.139741721096;2.0552612894875635;42.21766344559552;0.005067261766591;1.0;;
21;;;;0.0270893152368235;0.0005493152368235;0.0005606847631764;2021-04-17 14:53:53.486707;2021-04-17 16:23:53.486707;2021-04-17 17:23:53.486707;2021-04-17 18:53:53.486707;2021-04-17 18:32:00;2222.773572855822;10101.009772727271;7878.23619987145;40.24626776281565;4.218114563726852;4.271391315835688;4650.876822416876;2428.1032495610543;1.3164595311697729;40.46670927205446;0.0051365189168502;1.0;;
