Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;;20;0.01574575180802746;0.0006557518080274605;0.0006842481919725404;2020-11-18 12:10:50.623686;2020-11-18 13:10:50.623686;2020-11-18 14:40:50.623686;2020-11-18 15:40:50.623686;2020-11-18 15:06:00;77812.40184596207;159280.15294744316;81467.75110148109;85.8262514467733;14.24352281055059;3.6391910608707523;76792.64693645439;-1019.7549095076829;-1.0;87.00013436460561;0.001067908874227215;1.0
;;;21;0.016805704388688978;0.00037570438868897785;0.0003842956113110224;2020-11-18 12:09:54.001666;2020-11-18 13:09:54.001666;2020-11-18 14:39:54.001666;2020-11-18 15:39:54.001666;2020-11-18 15:08:00;56906.39999045632;131833.91150716145;74927.51151670513;100.22129635916501;14.743407432904121;4.363524946261801;60573.36385529119;3666.96386483487;-1.0;101.29993241184415;0.0013519724646034626;1.0
;;;22;0.01793869560475343;0.0007486956047534285;0.0007813043952465716;2020-11-18 12:08:59.203317;2020-11-18 13:08:59.203317;2020-11-18 14:38:59.203317;2020-11-18 15:38:59.203317;2020-11-18 15:04:00;43685.14124075225;120185.74456380207;76500.60332304981;81.8836509555887;11.996500608172736;6.64156047617999;51224.81473953401;7539.673498781762;-1.0;82.75776894442342;0.0010817923695967545;1.0
;;;23;0.01910601999370879;0.0003860199937087902;0.00039398000629120924;2020-11-18 12:08:08.007952;2020-11-18 13:08:08.007952;2020-11-18 14:38:08.007952;2020-11-18 15:38:08.007952;2020-11-18 15:00:00;32296.454085015193;80505.76291503906;48209.30883002386;89.09686058008042;12.30388239363677;5.119149758381552;38938.67745583272;6642.22337081753;-1.0;89.94240427730811;0.0018656646705810822;1.0
;;;24;0.019944924166313594;0.00044492416631359416;0.00045507583368640733;2020-11-18 12:07:34.075250;2020-11-18 13:07:34.075250;2020-11-18 14:37:34.075250;2020-11-18 15:37:34.075250;2020-11-18 14:58:00;28843.623052726485;78360.35530598958;49516.73225326309;84.00647637610554;11.696707176151538;5.118969642917515;36113.91080873973;7270.287756013247;-1.0;84.81686761425355;0.0017128930717891673;1.0
;;;25;0.021338416061179425;0.0009384160611794236;0.0009815839388205745;2020-11-18 12:06:42.280405;2020-11-18 13:06:42.280405;2020-11-18 14:36:42.280405;2020-11-18 15:36:42.280405;2020-11-18 14:58:00;17872.835619683156;67538.66753906249;49665.83191937933;67.72432393102224;9.068469505251322;8.71480720768949;27589.145263899747;9716.309644216592;-1.0;68.32877279068975;0.0013757702257279265;1.0
;;;26;0.02282430283710764;0.0005043028371076418;0.0005156971628923583;2020-11-18 12:05:52.467038;2020-11-18 13:05:52.467038;2020-11-18 14:35:52.467038;2020-11-18 15:35:52.467038;2020-11-18 15:00:00;15128.011902134627;48646.05877929687;33518.04687716225;73.58321771758949;9.225934331661952;7.036957533278452;21826.3798889152;6698.367986780571;-1.0;74.15934057127474;0.0022125197462446334;1.0
;;;27;0.023824961699864283;0.0004849616998642836;0.0004950383001357181;2020-11-18 12:05:21.635132;2020-11-18 13:05:21.635132;2020-11-18 14:35:21.635132;2020-11-18 15:35:21.635132;2020-11-18 14:58:00;13001.051303906248;62218.560117187495;49217.508813281245;75.42252323036705;8.744878889203038;10.296351852429767;21132.423844353696;8131.372540447448;-1.0;75.92779410217372;0.0015426988470754286;1.0
;;;28;0.025405763125716182;0.0010857631257161805;0.0011342368742838192;2020-11-18 12:04:36.775023;2020-11-18 13:04:36.775023;2020-11-18 14:34:36.775023;2020-11-18 15:34:36.775023;2020-11-18 14:52:00;10016.16572044789;33499.24880859375;23483.08308814586;57.87179052530899;7.489391933972229;6.804275359921837;15298.787058005595;5282.6213375577045;-1.0;58.35439255228257;0.00248495448120011;1.0
;;;29;0.027089315236823543;0.0005493152368235416;0.0005606847631764583;2020-11-18 12:03:53.486707;2020-11-18 13:03:53.486707;2020-11-18 14:33:53.486707;2020-11-18 15:33:53.486707;2020-11-18 14:54:00;7412.273147084122;24702.75696614583;17290.48381906171;63.05829506608046;7.176880084703854;5.0769239724126445;13365.478343108822;5953.2051960247;-1.0;63.46539359675544;0.003670538908043088;1.0
