;Plot_period;Averaging;Ion_masking;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Ion_contamination_correction
12;;;;0.0124672892001429;0.0002572892001429;0.000262710799857;2020-11-18 12:08:20.100498;2020-11-18 13:08:20.100498;2020-11-18 13:38:20.100498;2020-11-18 14:38:20.100498;2020-11-18 14:10:00;212131.25056835936;2405644.2135;2193512.962931641;153.54884168328692;24.60151427605677;59.652533414836384;748872.8583255657;536741.6077572063;14.596675393738062;155.5071743906182;7.089412144744387e-05;1.0;
13;;;;0.0132877801005284;0.0005577801005284;0.0005822198994715;2020-11-18 12:07:10.563847;2020-11-18 13:07:10.563847;2020-11-18 13:37:10.563847;2020-11-18 14:37:10.563847;2020-11-18 14:10:00;154739.47522916665;1640250.2765000002;1485510.8012708337;114.44464955706414;18.97302930919976;46.8773346105149;540328.9568144531;385589.4815852864;12.167805939280408;116.0066965886322;7.809212594710864e-05;1.0;
14;;;;0.0141570300557708;0.0002870300557708;0.0002929699442291;2020-11-18 12:06:03.674985;2020-11-18 13:06:03.674985;2020-11-18 13:36:03.674985;2020-11-18 14:36:03.674985;2020-11-18 14:05:00;121411.37495056789;1253657.3013333334;1132245.9263827654;125.1078109996038;20.68356038365059;47.02329476835202;416248.3639528218;294836.9890022539;12.244872177865918;126.80604892218948;0.0001119951469618;1.0;
15;;;;0.0147665331069956;0.0003165331069956;0.0003234668930043;2020-11-18 12:05:20.385883;2020-11-18 13:05:20.385883;2020-11-18 13:35:20.385883;2020-11-18 14:35:20.385883;2020-11-18 14:05:00;102781.48602648506;1054665.1775625;951883.691536015;114.71955144101848;19.01264301090753;37.94332645120987;334356.7884801993;231575.3024537143;9.230893834161767;116.2843758941359;0.0001221623785848;1.0;
16;;;;0.0157457518080274;0.0006557518080274;0.0006842481919725;2020-11-18 12:04:16.248540;2020-11-18 13:04:16.248540;2020-11-18 13:34:16.248540;2020-11-18 14:34:16.248540;2020-11-18 14:05:00;81384.58615492079;767791.57390625;686406.9877513292;84.25394485268235;14.511212313193903;33.165278057394914;239485.6781201877;158101.0919652669;7.63900538568736;85.49445892008107;0.0001245535964022;1.0;
17;;;;0.0168057043886889;0.0003757043886889;0.000384295611311;2020-11-18 12:03:13.335184;2020-11-18 13:03:13.335184;2020-11-18 13:33:13.335184;2020-11-18 14:33:13.335184;2020-11-18 14:05:00;59970.5382717229;521601.6534895833;461631.1152178604;87.69258248742807;14.957457432507724;37.09588100072531;178698.11324682913;118727.57497510622;9.540743350245538;88.95906112454007;0.0001927059467873;1.0;
18;;;;0.0179386956047534;0.0007486956047534;0.0007813043952465;2020-11-18 12:02:12.448130;2020-11-18 13:02:12.448130;2020-11-18 13:32:12.448130;2020-11-18 14:32:12.448130;2020-11-18 14:00:00;45073.84961829876;318842.35635416664;273768.5067358679;67.12471957525997;12.111819280174338;30.586310511304987;130777.9916842897;85704.14206599093;9.575146289067128;68.20868085759241;0.0002491472875052;1.0;
19;;;;0.0191060199937087;0.0003860199937087;0.0003939800062912;2020-11-18 12:01:15.564391;2020-11-18 13:01:15.564391;2020-11-18 13:31:15.564391;2020-11-18 14:31:15.564391;2020-11-18 13:55:00;33155.931305600454;263752.94742187497;230597.0161162745;74.45781869637618;12.47302753885201;30.273709733416496;102033.80512804752;68877.87382244709;9.042566093328066;75.49531893440405;0.0003273907017787;1.0;
20;;;;0.0199449241663135;0.0004449241663135;0.0004550758336864;2020-11-18 12:00:37.861389;2020-11-18 13:00:37.861389;2020-11-18 13:30:37.861389;2020-11-18 14:30:37.861389;2020-11-18 13:55:00;30482.77097594676;219412.78925;188930.0182740532;68.97678909576796;11.915374672881017;29.93958375919279;85628.05226618361;55145.28129023686;8.738827123376392;69.9983827495835;0.0003704989995186;1.0;
21;;;;0.0213384160611794;0.0009384160611794;0.0009815839388205;2020-11-18 11:59:40.311561;2020-11-18 12:59:40.311561;2020-11-18 13:29:40.311561;2020-11-18 14:29:40.311561;2020-11-18 13:55:00;18588.2285231236;186623.52509375;168035.29657062638;54.89100054958139;9.211989144835131;40.35817569792661;60269.19117523872;41680.96265211512;10.010799208877836;55.65862633355862;0.0003312317558838;1.0;
